192.168.43.98 - - [23/May/2018:06:33:22 +0000] "GET /MyApp/assets/img/empresa.jpg HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:23 +0000] "GET /MyApp/index.html HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:23 +0000] "GET /MyApp/assets/img/castelo.jpg HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:32 +0000] "GET /MyApp/testimonies.html HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:17 +0000] "GET /MyApp/testimonies.html HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:18 +0000] "GET /MyApp/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:18 +0000] "GET /MyApp/assets/js/testimonies.js HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:18 +0000] "GET /MyApp/assets/css/estilos.css HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:18 +0000] "GET /MyApp/assets/img/depoimentos/depoimento3.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:18 +0000] "GET /MyApp/assets/img/depoimentos/depoimento2.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:18 +0000] "GET /MyApp/assets/img/depoimentos/depoimento1.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:18 +0000] "GET /MyApp/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:18 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.43.98 - - [23/May/2018:06:45:29 +0000] "GET /MyApp/index.html HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:45:29 +0000] "GET /MyApp/assets/img/castelo.jpg HTTP/1.1" 304 -
